campaign_id,date,impressions,clicks,cost,conversions,ctr,cpc,cpa
Display_Programmatic,2025-10-25,17212,119,91.53,1,0.006914,0.7692,91.53
Email_Newsletter,2025-10-25,4909,161,117.52,13,0.032797,0.7299,9.04
Search_Google,2025-10-25,10712,215,616.29,19,0.020071,2.8665,32.4363
Social_FB,2025-10-25,19615,407,284.57,13,0.020749,0.6992,21.89
Social_IG,2025-10-25,17437,286,174.56,10,0.016402,0.6103,17.456
Display_Programmatic,2025-10-26,35287,370,227.86,3,0.010485,0.6158,75.9533
Email_Newsletter,2025-10-26,5025,175,101.25,11,0.034826,0.5786,9.2045
Search_Google,2025-10-26,10832,259,575.81,19,0.023911,2.2232,30.3058
Social_FB,2025-10-26,9258,191,220.4,4,0.020631,1.1539,55.1
Social_IG,2025-10-26,19389,159,161.58,6,0.008201,1.0162,26.93
Display_Programmatic,2025-10-27,17295,98,35.22,1,0.005666,0.3594,35.22
Email_Newsletter,2025-10-27,6976,188,151.93,9,0.02695,0.8081,16.8811
Search_Google,2025-10-27,4842,257,501.78,14,0.053077,1.9525,35.8414
Social_FB,2025-10-27,11972,313,449.33,12,0.026144,1.4356,37.4442
Social_IG,2025-10-27,17098,261,344.84,11,0.015265,1.3212,31.3491
Display_Programmatic,2025-10-28,21249,154,142.29,1,0.007247,0.924,142.29
Email_Newsletter,2025-10-28,2931,138,80.91,11,0.047083,0.5863,7.3555
Search_Google,2025-10-28,6790,317,842.76,23,0.046686,2.6585,36.6417
Social_FB,2025-10-28,22444,544,853.28,20,0.024238,1.5685,42.664
Social_IG,2025-10-28,9860,198,154.64,6,0.020081,0.781,25.7733
Display_Programmatic,2025-10-29,23761,111,88.03,2,0.004672,0.7931,44.015
Email_Newsletter,2025-10-29,7415,231,91.43,12,0.031153,0.3958,7.6192
Search_Google,2025-10-29,7016,387,720.59,27,0.05516,1.862,26.6885
Social_FB,2025-10-29,16269,328,247.51,13,0.020161,0.7546,19.0392
Social_IG,2025-10-29,7952,148,88.67,3,0.018612,0.5991,29.5567
Display_Programmatic,2025-10-30,21190,199,212.01,2,0.009391,1.0654,106.005
Email_Newsletter,2025-10-30,5911,222,102.05,11,0.037557,0.4597,9.2773
Search_Google,2025-10-30,6992,253,455.11,10,0.036184,1.7989,45.511
Social_FB,2025-10-30,16553,168,164.65,6,0.010149,0.9801,27.4417
Social_IG,2025-10-30,18409,234,194.49,9,0.012711,0.8312,21.61
Display_Programmatic,2025-10-31,27242,92,73.62,1,0.003377,0.8002,73.62
Email_Newsletter,2025-10-31,3955,191,63.93,14,0.048293,0.3347,4.5664
Search_Google,2025-10-31,5669,299,478.93,24,0.052743,1.6018,19.9554
Social_FB,2025-10-31,13042,260,174.45,10,0.019936,0.671,17.445
Social_IG,2025-10-31,17360,316,352.24,8,0.018203,1.1147,44.03
Display_Programmatic,2025-11-01,29342,326,193.52,5,0.01111,0.5936,38.704
Email_Newsletter,2025-11-01,4236,218,169.35,24,0.051464,0.7768,7.0562
Search_Google,2025-11-01,11863,501,864.9,32,0.042232,1.7263,27.0281
Social_FB,2025-11-01,13150,254,337.08,11,0.019316,1.3271,30.6436
Social_IG,2025-11-01,18940,397,314.25,15,0.020961,0.7916,20.95
Display_Programmatic,2025-11-02,23599,224,170.62,2,0.009492,0.7617,85.31
Email_Newsletter,2025-11-02,6552,192,167.56,12,0.029304,0.8727,13.9633
Search_Google,2025-11-02,11919,247,405.06,15,0.020723,1.6399,27.004
Social_FB,2025-11-02,22802,381,583.13,18,0.016709,1.5305,32.3961
Social_IG,2025-11-02,11104,174,185.14,6,0.01567,1.064,30.8567
Display_Programmatic,2025-11-03,28348,318,122.95,4,0.011218,0.3866,30.7375
Email_Newsletter,2025-11-03,2695,145,113.63,17,0.053803,0.7837,6.6841
Search_Google,2025-11-03,8799,446,1689.31,17,0.050688,3.7877,99.3712
Social_FB,2025-11-03,18939,498,485.8,16,0.026295,0.9755,30.3625
Social_IG,2025-11-03,13496,201,227.46,4,0.014893,1.1316,56.865
Display_Programmatic,2025-11-04,18714,106,107.6,2,0.005664,1.0151,53.8
Email_Newsletter,2025-11-04,2946,67,42.29,3,0.022743,0.6312,14.0967
Search_Google,2025-11-04,5757,189,304.62,15,0.03283,1.6117,20.308
Social_FB,2025-11-04,10539,180,259.03,8,0.017079,1.4391,32.3787
Social_IG,2025-11-04,19403,322,217.11,13,0.016595,0.6743,16.7008
Display_Programmatic,2025-11-05,19694,66,48.64,1,0.003351,0.737,48.64
Email_Newsletter,2025-11-05,8007,376,232.15,23,0.046959,0.6174,10.0935
Search_Google,2025-11-05,7433,310,792.72,16,0.041706,2.5572,49.545
Social_FB,2025-11-05,18914,428,625.41,19,0.022629,1.4612,32.9163
Social_IG,2025-11-05,18342,295,323.89,8,0.016083,1.0979,40.4862
Display_Programmatic,2025-11-06,27684,126,68.59,1,0.004551,0.5444,68.59
Email_Newsletter,2025-11-06,2818,74,49.57,9,0.02626,0.6699,5.5078
Search_Google,2025-11-06,12375,339,810.41,13,0.027394,2.3906,62.3392
Social_FB,2025-11-06,12108,274,215.92,6,0.02263,0.788,35.9867
Social_IG,2025-11-06,18811,236,183.36,9,0.012546,0.7769,20.3733
Display_Programmatic,2025-11-07,12798,131,94.02,1,0.010236,0.7177,94.02
Email_Newsletter,2025-11-07,7407,308,84.88,29,0.041582,0.2756,2.9269
Search_Google,2025-11-07,5869,318,730.85,23,0.054183,2.2983,31.7761
Social_FB,2025-11-07,16495,294,193.27,12,0.017824,0.6574,16.1058
Social_IG,2025-11-07,9286,173,105.14,3,0.01863,0.6077,35.0467
Display_Programmatic,2025-11-08,16205,144,76.96,1,0.008886,0.5344,76.96
Email_Newsletter,2025-11-08,5427,112,73.11,6,0.020638,0.6528,12.185
Search_Google,2025-11-08,6401,161,549.54,13,0.025152,3.4133,42.2723
Social_FB,2025-11-08,16825,368,253.27,9,0.021872,0.6882,28.1411
Social_IG,2025-11-08,18283,368,467.24,12,0.020128,1.2697,38.9367
Display_Programmatic,2025-11-09,29502,283,154.71,2,0.009593,0.5467,77.355
Email_Newsletter,2025-11-09,6975,198,139.77,19,0.028387,0.7059,7.3563
Search_Google,2025-11-09,12268,384,1271.97,17,0.031301,3.3124,74.8218
Social_FB,2025-11-09,26592,592,511.78,17,0.022262,0.8645,30.1047
Social_IG,2025-11-09,8230,146,196.81,5,0.01774,1.348,39.362
Display_Programmatic,2025-11-10,34156,288,157.3,4,0.008432,0.5462,39.325
Email_Newsletter,2025-11-10,3513,167,89.56,9,0.047538,0.5363,9.9511
