campaign_id,date,impressions,clicks,cost,conversions,ctr,cpc,cpa,channel_type,day_of_week,month_name,week_number,quarter,performance_tier
Display_Programmatic,2025-10-25,17212,119,91.53,1,0.006913781082965373,0.7692,91.53,Display,Saturday,October,43,Q4,Low
Email_Newsletter,2025-10-25,4909,161,117.52,13,0.03279690364636382,0.7299,9.04,Email,Saturday,October,43,Q4,High
Search_Google,2025-10-25,10712,215,616.29,19,0.02007094846900672,2.8665,32.4363,Search,Saturday,October,43,Q4,Medium
Social_FB,2025-10-25,19615,407,284.57,13,0.02074942645934234,0.6992,21.89,Social,Saturday,October,43,Q4,Medium
Social_IG,2025-10-25,17437,286,174.56,10,0.01640190399724723,0.6103,17.456,Social,Saturday,October,43,Q4,Medium
Display_Programmatic,2025-10-26,35287,370,227.86,3,0.010485447898659564,0.6158,75.9533,Display,Sunday,October,43,Q4,Medium
Email_Newsletter,2025-10-26,5025,175,101.25,11,0.03482587064676617,0.5786,9.2045,Email,Sunday,October,43,Q4,High
Search_Google,2025-10-26,10832,259,575.81,19,0.023910635155096012,2.2232,30.3058,Search,Sunday,October,43,Q4,Medium
Social_FB,2025-10-26,9258,191,220.4,4,0.020630805789587384,1.1539,55.1,Social,Sunday,October,43,Q4,Medium
Social_IG,2025-10-26,19389,159,161.58,6,0.00820052607148383,1.0162,26.93,Social,Sunday,October,43,Q4,Low
Display_Programmatic,2025-10-27,17295,98,35.22,1,0.005666377565770454,0.3594,35.22,Display,Monday,October,44,Q4,Low
Email_Newsletter,2025-10-27,6976,188,151.93,9,0.02694954128440367,0.8081,16.8811,Email,Monday,October,44,Q4,Medium
Search_Google,2025-10-27,4842,257,501.78,14,0.053077240809582815,1.9525,35.8414,Search,Monday,October,44,Q4,High
Social_FB,2025-10-27,11972,313,449.33,12,0.02614433678583361,1.4356,37.4442,Social,Monday,October,44,Q4,Medium
Social_IG,2025-10-27,17098,261,344.84,11,0.015264943268218504,1.3212,31.3491,Social,Monday,October,44,Q4,Medium
Display_Programmatic,2025-10-28,21249,154,142.29,1,0.007247399877641301,0.924,142.29,Display,Tuesday,October,44,Q4,Low
Email_Newsletter,2025-10-28,2931,138,80.91,11,0.04708290685772774,0.5863,7.3555,Email,Tuesday,October,44,Q4,High
Search_Google,2025-10-28,6790,317,842.76,23,0.046686303387334316,2.6585,36.6417,Search,Tuesday,October,44,Q4,High
Social_FB,2025-10-28,22444,544,853.28,20,0.024238103724826234,1.5685,42.664,Social,Tuesday,October,44,Q4,Medium
Social_IG,2025-10-28,9860,198,154.64,6,0.020081135902636917,0.781,25.7733,Social,Tuesday,October,44,Q4,Medium
Display_Programmatic,2025-10-29,23761,111,88.03,2,0.004671520558899037,0.7931,44.015,Display,Wednesday,October,44,Q4,Low
Email_Newsletter,2025-10-29,7415,231,91.43,12,0.031153068105192177,0.3958,7.6192,Email,Wednesday,October,44,Q4,High
Search_Google,2025-10-29,7016,387,720.59,27,0.05515963511972634,1.862,26.6885,Search,Wednesday,October,44,Q4,High
Social_FB,2025-10-29,16269,328,247.51,13,0.0201610424734157,0.7546,19.0392,Social,Wednesday,October,44,Q4,Medium
Social_IG,2025-10-29,7952,148,88.67,3,0.018611670020120725,0.5991,29.5567,Social,Wednesday,October,44,Q4,Medium
Display_Programmatic,2025-10-30,21190,199,212.01,2,0.009391222274657857,1.0654,106.005,Display,Thursday,October,44,Q4,Low
Email_Newsletter,2025-10-30,5911,222,102.05,11,0.037557096937912364,0.4597,9.2773,Email,Thursday,October,44,Q4,High
Search_Google,2025-10-30,6992,253,455.11,10,0.03618421052631579,1.7989,45.511,Search,Thursday,October,44,Q4,High
Social_FB,2025-10-30,16553,168,164.65,6,0.010149217664471697,0.9801,27.4417,Social,Thursday,October,44,Q4,Medium
Social_IG,2025-10-30,18409,234,194.49,9,0.01271117388234016,0.8312,21.61,Social,Thursday,October,44,Q4,Medium
Display_Programmatic,2025-10-31,27242,92,73.62,1,0.003377138242419793,0.8002,73.62,Display,Friday,October,44,Q4,Low
Email_Newsletter,2025-10-31,3955,191,63.93,14,0.04829329962073325,0.3347,4.5664,Email,Friday,October,44,Q4,High
Search_Google,2025-10-31,5669,299,478.93,24,0.052742988181337096,1.6018,19.9554,Search,Friday,October,44,Q4,High
Social_FB,2025-10-31,13042,260,174.45,10,0.019935592700506058,0.671,17.445,Social,Friday,October,44,Q4,Medium
Social_IG,2025-10-31,17360,316,352.24,8,0.018202764976958524,1.1147,44.03,Social,Friday,October,44,Q4,Medium
Display_Programmatic,2025-11-01,29342,326,193.52,5,0.011110353759116625,0.5936,38.704,Display,Saturday,November,44,Q4,Medium
Email_Newsletter,2025-11-01,4236,218,169.35,24,0.05146364494806421,0.7768,7.0562,Email,Saturday,November,44,Q4,High
Search_Google,2025-11-01,11863,501,864.9,32,0.042232150383545476,1.7263,27.0281,Search,Saturday,November,44,Q4,High
Social_FB,2025-11-01,13150,254,337.08,11,0.01931558935361217,1.3271,30.6436,Social,Saturday,November,44,Q4,Medium
Social_IG,2025-11-01,18940,397,314.25,15,0.020960929250263993,0.7916,20.95,Social,Saturday,November,44,Q4,Medium
Display_Programmatic,2025-11-02,23599,224,170.62,2,0.009491927624051866,0.7617,85.31,Display,Sunday,November,44,Q4,Low
Email_Newsletter,2025-11-02,6552,192,167.56,12,0.029304029304029304,0.8727,13.9633,Email,Sunday,November,44,Q4,Medium
Search_Google,2025-11-02,11919,247,405.06,15,0.020723215034818356,1.6399,27.004,Search,Sunday,November,44,Q4,Medium
Social_FB,2025-11-02,22802,381,583.13,18,0.016709060608718535,1.5305,32.3961,Social,Sunday,November,44,Q4,Medium
Social_IG,2025-11-02,11104,174,185.14,6,0.015670028818443805,1.064,30.8567,Social,Sunday,November,44,Q4,Medium
Display_Programmatic,2025-11-03,28348,318,122.95,4,0.011217722590658953,0.3866,30.7375,Display,Monday,November,45,Q4,Medium
Email_Newsletter,2025-11-03,2695,145,113.63,17,0.05380333951762523,0.7837,6.6841,Email,Monday,November,45,Q4,High
Search_Google,2025-11-03,8799,446,1689.31,17,0.05068757813387885,3.7877,99.3712,Search,Monday,November,45,Q4,High
Social_FB,2025-11-03,18939,498,485.8,16,0.026294946934896247,0.9755,30.3625,Social,Monday,November,45,Q4,Medium
Social_IG,2025-11-03,13496,201,227.46,4,0.014893301719027861,1.1316,56.865,Social,Monday,November,45,Q4,Medium
Display_Programmatic,2025-11-04,18714,106,107.6,2,0.005664208613871968,1.0151,53.8,Display,Tuesday,November,45,Q4,Low
Email_Newsletter,2025-11-04,2946,67,42.29,3,0.022742701968771217,0.6312,14.0967,Email,Tuesday,November,45,Q4,Medium
Search_Google,2025-11-04,5757,189,304.62,15,0.03282959874934862,1.6117,20.308,Search,Tuesday,November,45,Q4,High
Social_FB,2025-11-04,10539,180,259.03,8,0.017079419299743808,1.4391,32.3787,Social,Tuesday,November,45,Q4,Medium
Social_IG,2025-11-04,19403,322,217.11,13,0.01659537184971396,0.6743,16.7008,Social,Tuesday,November,45,Q4,Medium
Display_Programmatic,2025-11-05,19694,66,48.64,1,0.0033512744998476693,0.737,48.64,Display,Wednesday,November,45,Q4,Low
Email_Newsletter,2025-11-05,8007,376,232.15,23,0.0469589109529162,0.6174,10.0935,Email,Wednesday,November,45,Q4,High
Search_Google,2025-11-05,7433,310,792.72,16,0.0417059060944437,2.5572,49.545,Search,Wednesday,November,45,Q4,High
Social_FB,2025-11-05,18914,428,625.41,19,0.022628740615417153,1.4612,32.9163,Social,Wednesday,November,45,Q4,Medium
Social_IG,2025-11-05,18342,295,323.89,8,0.01608330607349253,1.0979,40.4862,Social,Wednesday,November,45,Q4,Medium
Display_Programmatic,2025-11-06,27684,126,68.59,1,0.004551365409622887,0.5444,68.59,Display,Thursday,November,45,Q4,Low
Email_Newsletter,2025-11-06,2818,74,49.57,9,0.0262597586941093,0.6699,5.5078,Email,Thursday,November,45,Q4,Medium
Search_Google,2025-11-06,12375,339,810.41,13,0.027393939393939394,2.3906,62.3392,Search,Thursday,November,45,Q4,Medium
Social_FB,2025-11-06,12108,274,215.92,6,0.022629666336306573,0.788,35.9867,Social,Thursday,November,45,Q4,Medium
Social_IG,2025-11-06,18811,236,183.36,9,0.012545850831960024,0.7769,20.3733,Social,Thursday,November,45,Q4,Medium
Display_Programmatic,2025-11-07,12798,131,94.02,1,0.010235974370995469,0.7177,94.02,Display,Friday,November,45,Q4,Medium
Email_Newsletter,2025-11-07,7407,308,84.88,29,0.04158228702578642,0.2756,2.9269,Email,Friday,November,45,Q4,High
Search_Google,2025-11-07,5869,318,730.85,23,0.054182995399556996,2.2983,31.7761,Search,Friday,November,45,Q4,High
Social_FB,2025-11-07,16495,294,193.27,12,0.017823582903910277,0.6574,16.1058,Social,Friday,November,45,Q4,Medium
