month,campaign_id,total_impressions,total_clicks,total_cost,total_conversions,avg_ctr,avg_cpa,mom_click_growth_pct
2025-10-01,Display_Programmatic,163236,1143,870.56,11,0.007002,79.1418,
2025-11-01,Display_Programmatic,693945,5657,3934.9,71,0.008152,55.4211,394.93
2025-12-01,Display_Programmatic,689549,4853,3573.69,63,0.007038,56.7252,-14.21
2026-01-01,Display_Programmatic,819973,6188,4548.12,83,0.007547,54.7966,27.51
2026-02-01,Display_Programmatic,794698,6128,4634.87,88,0.007711,52.669,-0.97
2026-03-01,Display_Programmatic,801437,6113,4189.79,93,0.007628,45.0515,-0.24
2026-04-01,Display_Programmatic,624757,4436,2812.88,54,0.0071,52.0904,-27.43
2025-10-01,Email_Newsletter,37122,1306,709.02,81,0.035181,8.7533,
2025-11-01,Email_Newsletter,161198,6039,3622.04,471,0.037463,7.6901,362.4
2025-12-01,Email_Newsletter,175970,7389,5065.29,567,0.04199,8.9335,22.35
2026-01-01,Email_Newsletter,178893,6453,3467.29,563,0.036072,6.1586,-12.67
2026-02-01,Email_Newsletter,163742,5942,3089.79,459,0.036289,6.7316,-7.92
2026-03-01,Email_Newsletter,214337,7802,4627.89,589,0.036401,7.8572,31.3
2026-04-01,Email_Newsletter,136340,4833,2958.68,382,0.035448,7.7452,-38.05
2025-10-01,Search_Google,52853,1987,4191.27,136,0.037595,30.8182,
2025-11-01,Search_Google,270830,10317,27726.33,624,0.038094,44.4332,419.22
2025-12-01,Search_Google,259738,10068,26339.12,638,0.038762,41.2839,-2.41
2026-01-01,Search_Google,282050,11278,24722.4,688,0.039986,35.9337,12.02
2026-02-01,Search_Google,258275,11013,28893.58,730,0.042641,39.5802,-2.35
2026-03-01,Search_Google,320466,12303,30934.27,802,0.038391,38.5714,11.71
2026-04-01,Search_Google,241566,8956,21408.99,531,0.037075,40.3182,-27.2
2025-10-01,Social_FB,109153,2211,2394.19,78,0.020256,30.6947,
2025-11-01,Social_FB,500644,9070,10654.9,292,0.018117,36.4894,310.22
2025-12-01,Social_FB,549053,9536,10385.8,313,0.017368,33.1815,5.14
2026-01-01,Social_FB,571677,10793,11742.84,378,0.01888,31.0657,13.18
2026-02-01,Social_FB,532437,10650,11327.93,340,0.020002,33.3174,-1.32
2026-03-01,Social_FB,583662,11367,13447.84,342,0.019475,39.3212,6.73
2026-04-01,Social_FB,448296,8360,8717.74,258,0.018648,33.7897,-26.45
2025-10-01,Social_IG,107505,1602,1471.02,53,0.014902,27.7551,
2025-11-01,Social_IG,411742,6886,6947.19,217,0.016724,32.0147,329.84
2025-12-01,Social_IG,437491,7361,7346.42,199,0.016825,36.9167,6.9
2026-01-01,Social_IG,467746,7195,7033.96,198,0.015382,35.5251,-2.26
2026-02-01,Social_IG,395047,5700,5853.34,159,0.014429,36.8135,-20.78
2026-03-01,Social_IG,497997,7623,7473.31,210,0.015307,35.5872,33.74
2026-04-01,Social_IG,335191,5342,4929.45,135,0.015937,36.5144,-29.92
