campaign_id,date,impressions,clicks,cost,conversions
Social_FB,2025-10-25,19615,407,284.57,13
Social_IG,2025-10-25,17437,286,174.56,10
Search_Google,2025-10-25,10712,215,616.29,19
Display_Programmatic,2025-10-25,17212,119,91.53,1
Email_Newsletter,2025-10-25,4909,161,117.52,13
Social_FB,2025-10-26,9258,191,220.4,4
Social_IG,2025-10-26,19389,159,161.58,6
Search_Google,2025-10-26,10832,259,575.81,19
Display_Programmatic,2025-10-26,35287,370,227.86,3
Email_Newsletter,2025-10-26,5025,175,101.25,11
Social_FB,2025-10-27,11972,313,449.33,12
Social_IG,2025-10-27,17098,261,344.84,11
Search_Google,2025-10-27,4842,257,501.78,14
Display_Programmatic,2025-10-27,17295,98,35.22,1
Email_Newsletter,2025-10-27,6976,188,151.93,9
Social_FB,2025-10-28,22444,544,853.28,20
Social_IG,2025-10-28,9860,198,154.64,6
Search_Google,2025-10-28,6790,317,842.76,23
Display_Programmatic,2025-10-28,21249,154,142.29,1
Email_Newsletter,2025-10-28,2931,138,80.91,11
Social_FB,2025-10-29,16269,328,247.51,13
Social_IG,2025-10-29,7952,148,88.67,3
Search_Google,2025-10-29,7016,387,720.59,27
Display_Programmatic,2025-10-29,23761,111,88.03,2
Email_Newsletter,2025-10-29,7415,231,91.43,12
Social_FB,2025-10-30,16553,168,164.65,6
Social_IG,2025-10-30,18409,234,194.49,9
Search_Google,2025-10-30,6992,253,455.11,10
Display_Programmatic,2025-10-30,21190,199,212.01,2
Email_Newsletter,2025-10-30,5911,222,102.05,11
Social_FB,2025-10-31,13042,260,174.45,10
Social_IG,2025-10-31,17360,316,352.24,8
Search_Google,2025-10-31,5669,299,478.93,24
Display_Programmatic,2025-10-31,27242,92,73.62,1
Email_Newsletter,2025-10-31,3955,191,63.93,14
Social_FB,2025-11-01,13150,254,337.08,11
Social_IG,2025-11-01,18940,397,314.25,15
Search_Google,2025-11-01,11863,501,864.9,32
Display_Programmatic,2025-11-01,29342,326,193.52,5
Email_Newsletter,2025-11-01,4236,218,169.35,24
Social_FB,2025-11-02,22802,381,583.13,18
Social_IG,2025-11-02,11104,174,185.14,6
Search_Google,2025-11-02,11919,247,405.06,15
Display_Programmatic,2025-11-02,23599,224,170.62,2
Email_Newsletter,2025-11-02,6552,192,167.56,12
Social_FB,2025-11-03,18939,498,485.8,16
Social_IG,2025-11-03,13496,201,227.46,4
Search_Google,2025-11-03,8799,446,1689.31,17
Display_Programmatic,2025-11-03,28348,318,122.95,4
Email_Newsletter,2025-11-03,2695,145,113.63,17
Social_FB,2025-11-04,10539,180,259.03,8
Social_IG,2025-11-04,19403,322,217.11,13
Search_Google,2025-11-04,5757,189,304.62,15
Display_Programmatic,2025-11-04,18714,106,107.6,2
Email_Newsletter,2025-11-04,2946,67,42.29,3
Social_FB,2025-11-05,18914,428,625.41,19
Social_IG,2025-11-05,18342,295,323.89,8
Search_Google,2025-11-05,7433,310,792.72,16
Display_Programmatic,2025-11-05,19694,66,48.64,1
Email_Newsletter,2025-11-05,8007,376,232.15,23
Social_FB,2025-11-06,12108,274,215.92,6
Social_IG,2025-11-06,18811,236,183.36,9
Search_Google,2025-11-06,12375,339,810.41,13
Display_Programmatic,2025-11-06,27684,126,68.59,1
Email_Newsletter,2025-11-06,2818,74,49.57,9
Social_FB,2025-11-07,16495,294,193.27,12
Social_IG,2025-11-07,9286,173,105.14,3
Search_Google,2025-11-07,5869,318,730.85,23
Display_Programmatic,2025-11-07,12798,131,94.02,1
Email_Newsletter,2025-11-07,7407,308,84.88,29
Social_FB,2025-11-08,16825,368,253.27,9
Social_IG,2025-11-08,18283,368,467.24,12
Search_Google,2025-11-08,6401,161,549.54,13
Display_Programmatic,2025-11-08,16205,144,76.96,1
Email_Newsletter,2025-11-08,5427,112,73.11,6
Social_FB,2025-11-09,26592,592,511.78,17
Social_IG,2025-11-09,8230,146,196.81,5
Search_Google,2025-11-09,12268,384,1271.97,17
Display_Programmatic,2025-11-09,29502,283,154.71,2
Email_Newsletter,2025-11-09,6975,198,139.77,19
Social_FB,2025-11-10,17041,424,626.73,12
Social_IG,2025-11-10,7085,152,138.97,6
Search_Google,2025-11-10,6976,405,1148.18,27
Display_Programmatic,2025-11-10,34156,288,157.3,4
Email_Newsletter,2025-11-10,3513,167,89.56,9
Social_FB,2025-11-11,10971,197,177.51,9
Social_IG,2025-11-11,10973,193,262.21,7
Search_Google,2025-11-11,7826,376,1299.74,15
Display_Programmatic,2025-11-11,23914,182,151.56,2
Email_Newsletter,2025-11-11,3088,150,139.38,17
Social_FB,2025-11-12,13801,232,192.87,9
Social_IG,2025-11-12,16569,191,205.97,5
Search_Google,2025-11-12,11640,288,920.07,20
Display_Programmatic,2025-11-12,11071,71,68.51,1
Email_Newsletter,2025-11-12,2331,112,67.0,13
Social_FB,2025-11-13,18294,207,327.6,7
Social_IG,2025-11-13,7550,83,119.91,2
Search_Google,2025-11-13,7161,401,830.3,15
Display_Programmatic,2025-11-13,30590,200,114.99,1
Email_Newsletter,2025-11-13,6114,205,85.3,13
Social_FB,2025-11-14,14838,223,260.35,7
Social_IG,2025-11-14,16508,343,483.66,13
Search_Google,2025-11-14,5765,327,1152.23,13
